Category,Question,Description
Legal & Paperwork,What are property taxes and how are they calculated?,"Annual taxes based on assessed value x tax rate, funding local services, paid annually or through escrow"
Legal & Paperwork,What is homeowners association (HOA) and what do fees cover?,"Organization governing communities with fees ($100-700/month) covering maintenance, amenities, and common areas"
Legal & Paperwork,What is a survey and do I need one?,"Precise property measurement showing boundaries, structures, easements, and encroachments (cost $400-1000+)"
Legal & Paperwork,What is a quitclaim deed?,"Deed transferring ownership interest without guarantees, used for family transfers, divorce, or clearing title"
Market & Investment,What is a buyer's market vs. seller's market?,"Market conditions comparison: buyer's (more inventory, lower prices) vs seller's (high demand, rising prices)"
Market & Investment,Is real estate a good investment?,"Analysis of real estate investment advantages (appreciation, income, tax benefits) and disadvantages (illiquidity, costs)"
Market & Investment,How do I know if a rental property is a good investment?,"Investment metrics: 1% rule, cap rate (8-12%), cash-on-cash return, and gross rent multiplier analysis"
Market & Investment,What is equity and how do I build it?,"Home equity definition (value minus debt) and building through payments, appreciation, improvements, and extra payments"
Market & Investment,Should I buy or rent?,"Decision factors comparing buying (stability, equity, 5+ year commitment) vs renting (flexibility, lower responsibility)"
Market & Investment,What is house flipping and how does it work?,"Buying, renovating, and selling properties for profit with keys to success and risks for investors"
Market & Investment,What is appreciation and what drives it?,"Property value increase over time (3-5% average) driven by location, economy, supply/demand, and infrastructure"
Market & Investment,What are the tax benefits of owning a home?,"Tax deductions for mortgage interest, property taxes, capital gains exclusion, and rental property benefits"
Market & Investment,What is a 1031 exchange?,"Tax-deferred exchange of investment properties with strict 45/180 day timelines and qualified intermediary requirements"
Market & Investment,How do rising interest rates affect the housing market?,"Impact of rate increases on affordability, demand, prices, and market competition (1% = ~10% buying power reduction)"
General,How long does the home buying process take?,"Timeline from pre-approval to closing: typically 30-45 days after offer acceptance, with detailed phase breakdown"
General,What is the difference between a condo and a townhouse?,"Ownership comparison: condos (interior only, higher HOA) vs townhouses (structure + land, more control)"
General,What questions should I ask at an open house?,"Important questions about selling reasons, market time, inclusions, systems age, costs, and neighborhood details"
General,What is a short sale?,"Selling property for less than mortgage owed with lender approval, requiring patience (2-6 months) and sold as-is"
General,What is a foreclosure and should I buy one?,"Lender repossession types (pre-foreclosure, auction, REO) with pros of lower prices and cons of as-is condition"
General,What is a home appraisal?,"Professional unbiased home valuation ($300-500) required by lenders, with options if appraisal comes in low"
General,What is curb appeal and why does it matter?,"Property's street attractiveness impacting buyer perception, home value (5-10% increase), and selling speed"
General,What is radon and should I test for it?,"Radioactive gas testing ($20-150) with EPA action level 4 pCi/L requiring mitigation system ($800-2500) if high"
General,What is the fair housing act?,"Federal law prohibiting housing discrimination based on race, color, national origin, religion, sex, familial status, disability"
General,Should I get a home inspection even on new construction?,"Importance of inspecting new homes for construction defects, code violations, and installation errors despite warranties"
